,text,label
0,"Given ifwzm forward entails ymxeq, does some ymxeq reverse entail any ifwzm?",1
1,"Given vcdba reverse entails mgqwj, does vcdba contradict few mgqwj?",0
2,"Given slmah reverse entails ryxfd, does few ryxfd reverse entail any slmah?",0
3,"Given dqbje forward entails hgrtf, does any dqbje forward entail some hgrtf?",0
4,"Given myaix contradicts myaix, does not myaix reverse entail few myaix?",1
5,"Given muchy reverse entails kkodq, does kkodq contradict muchy?",0
6,"Given txnjl reverse entails bfcjk, does any txnjl forward entail each bfcjk?",0
7,"Given rhcdb contradicts rhcdb, does not rhcdb forward entail few rhcdb?",1
8,"Given zyeej reverse entails cjirb, does most cjirb contradict any zyeej?",0
9,"Given rhcdb contradicts rhcdb, does few rhcdb forward entail any rhcdb?",0
10,"Given ptqrf contradicts ptqrf, does some ptqrf forward entail one ptqrf?",0
11,"Given cbwwl reverse entails bfcjk, does one bfcjk contradict any cbwwl?",0
12,"Given nyuhb reverse entails gvxfe, does most nyuhb contradict gvxfe?",0
13,"Given hqmtp forward entails kvxne, does any kvxne contradict some hqmtp?",0
14,"Given rdhcd reverse entails jxbse, does rdhcd reverse entail few jxbse?",0
15,"Given rdhcd reverse entails jxbse, does some jxbse contradict most rdhcd?",0
16,"Given vvsuh contradicts vvsuh, does each vvsuh contradict one vvsuh?",1
17,"Given ztpct contradicts ztpct, does some ztpct contradict each ztpct?",1
18,"Given nyuhb reverse entails gvxfe, does not nyuhb forward entail any gvxfe?",0
19,"Given yrqzb contradicts yrqzb, does one yrqzb reverse entail not yrqzb?",1
20,"Given fpmbp forward entails ishyf, does one fpmbp forward entail one ishyf?",0
21,"Given nxuqq contradicts nxuqq, does most nxuqq forward entail nxuqq?",0
22,"Given haxqv reverse entails dpqqn, does few haxqv contradict any dpqqn?",0
23,"Given ehygp contradicts ehygp, does most ehygp contradict one ehygp?",1
24,"Given nksyl forward entails xmswp, does each nksyl contradict any xmswp?",0
25,"Given lphzh forward entails wqfgl, does most wqfgl reverse entail some lphzh?",1
26,"Given gwlhp contradicts gwlhp, does most gwlhp contradict any gwlhp?",1
27,"Given rawca reverse entails qcmrb, does some rawca contradict any qcmrb?",0
28,"Given ppzhm forward entails tptap, does one ppzhm contradict some tptap?",0
29,"Given haxqv reverse entails dpqqn, does some haxqv contradict each dpqqn?",0
30,"Given nvnhf forward entails vqlga, does some vqlga contradict some nvnhf?",0
31,"Given emken forward entails prbgm, does one emken contradict one prbgm?",0
32,"Given odqnp reverse entails chvfb, does odqnp reverse entail one chvfb?",0
33,"Given rawca reverse entails lwgjr, does lwgjr forward entail some rawca?",1
34,"Given jwtms forward entails xnbjo, does most xnbjo reverse entail some jwtms?",1
35,"Given kvxne reverse entails czcwo, does few kvxne contradict any czcwo?",0
36,"Given dpqqn contradicts dpqqn, does some dpqqn forward entail most dpqqn?",0
37,"Given vvsuh contradicts vvsuh, does most vvsuh reverse entail not vvsuh?",1
38,"Given xyeaw reverse entails slmah, does few xyeaw forward entail one slmah?",0
39,"Given xofqg reverse entails hgrtf, does few hgrtf contradict not xofqg?",0
40,"Given sigap reverse entails fvgvb, does one fvgvb contradict not sigap?",0
41,"Given ymxeq reverse entails ifwzm, does each ymxeq contradict ifwzm?",0
42,"Given pinrq forward entails zhmew, does any pinrq forward entail one zhmew?",0
43,"Given fxcsr forward entails khddc, does not fxcsr reverse entail khddc?",0
44,"Given algly contradicts algly, does most algly forward entail most algly?",0
45,"Given rhcdb contradicts rhcdb, does most rhcdb reverse entail any rhcdb?",0
46,"Given zbnab contradicts zbnab, does zbnab contradict most zbnab?",1
47,"Given avfll contradicts avfll, does each avfll forward entail avfll?",0
48,"Given wqfgl reverse entails nxwqi, does each wqfgl contradict few nxwqi?",0
49,"Given koeie forward entails kvrzt, does not koeie forward entail kvrzt?",0
50,"Given ehbfl forward entails sovsy, does most ehbfl contradict most sovsy?",0
51,"Given gakmx forward entails zpcna, does few zpcna forward entail some gakmx?",0
52,"Given bfpjo contradicts bfpjo, does not bfpjo reverse entail bfpjo?",1
53,"Given bbdat forward entails myaix, does each bbdat reverse entail most myaix?",0
54,"Given rxaio contradicts rxaio, does not rxaio reverse entail some rxaio?",1
55,"Given fpmbp forward entails mmxmg, does some fpmbp forward entail most mmxmg?",0
56,"Given vcdba contradicts vcdba, does most vcdba forward entail vcdba?",0
57,"Given fwqbd contradicts fwqbd, does fwqbd contradict one fwqbd?",1
58,"Given cpcwh forward entails oaucg, does one oaucg forward entail some cpcwh?",0
59,"Given mmxmg contradicts mmxmg, does some mmxmg contradict mmxmg?",1
60,"Given zgjad reverse entails nvnhf, does not zgjad forward entail each nvnhf?",0
61,"Given zyeej reverse entails osexv, does any osexv contradict any zyeej?",0
62,"Given nksyl reverse entails llihr, does some llihr contradict few nksyl?",0
63,"Given umjbg forward entails xednx, does umjbg reverse entail any xednx?",0
64,"Given xkryp forward entails zpcna, does each xkryp reverse entail not zpcna?",0
65,"Given fwqbd reverse entails fexar, does few fwqbd contradict few fexar?",0
66,"Given ciylw forward entails cpcwh, does each cpcwh reverse entail one ciylw?",1
67,"Given dpqqn forward entails fjpod, does most fjpod reverse entail most dpqqn?",1
68,"Given bziht forward entails zyeej, does not bziht reverse entail zyeej?",0
69,"Given xoouc contradicts xoouc, does each xoouc contradict one xoouc?",1
70,"Given cjxmr contradicts cjxmr, does few cjxmr contradict each cjxmr?",1
71,"Given bfgtj forward entails zhmew, does most bfgtj contradict each zhmew?",0
72,"Given haxqv reverse entails dpqqn, does any dpqqn forward entail few haxqv?",1
73,"Given eagcj contradicts eagcj, does one eagcj reverse entail one eagcj?",0
74,"Given ciylw forward entails rawca, does most rawca reverse entail each ciylw?",1
75,"Given yaxtz reverse entails bkufw, does each bkufw reverse entail some yaxtz?",0
76,"Given hfrjw forward entails nxzwo, does one nxzwo contradict some hfrjw?",0
77,"Given wvbnk contradicts wvbnk, does most wvbnk forward entail most wvbnk?",0
78,"Given jgigu contradicts jgigu, does jgigu forward entail few jgigu?",0
79,"Given hqfxx contradicts hqfxx, does most hqfxx forward entail each hqfxx?",0
80,"Given jhwcm forward entails qbgvx, does not jhwcm forward entail qbgvx?",0
81,"Given zhmew reverse entails pinrq, does one zhmew reverse entail most pinrq?",0
82,"Given avvej forward entails fvgvb, does avvej reverse entail not fvgvb?",0
83,"Given tawze contradicts tawze, does tawze reverse entail most tawze?",0
84,"Given gnnle forward entails khddc, does some gnnle forward entail some khddc?",0
85,"Given feqrx forward entails iesaj, does one iesaj reverse entail each feqrx?",1
86,"Given qbgvx reverse entails jhwcm, does few jhwcm reverse entail each qbgvx?",0
87,"Given avvej contradicts avvej, does not avvej contradict any avvej?",0
88,"Given qyhjg forward entails ztpct, does any qyhjg contradict few ztpct?",0
89,"Given qhpxn reverse entails ishyf, does any qhpxn forward entail not ishyf?",0
90,"Given jscmw contradicts jscmw, does any jscmw contradict any jscmw?",1
91,"Given oltej contradicts oltej, does any oltej contradict most oltej?",1
92,"Given lphzh reverse entails fqbnj, does each fqbnj forward entail one lphzh?",1
93,"Given ciylw forward entails cpcwh, does few ciylw reverse entail one cpcwh?",0
94,"Given aucsa contradicts aucsa, does one aucsa reverse entail most aucsa?",0
95,"Given ndxll contradicts ndxll, does not ndxll reverse entail not ndxll?",0
96,"Given dccqn reverse entails algly, does some algly contradict most dccqn?",0
97,"Given fxcsr forward entails khddc, does khddc forward entail some fxcsr?",0
98,"Given dpqqn forward entails jscmw, does each dpqqn contradict some jscmw?",0
99,"Given jlrja contradicts jlrja, does few jlrja reverse entail one jlrja?",0
100,"Given nxwqi reverse entails jmurm, does each nxwqi contradict any jmurm?",0
101,"Given tawze forward entails tojzs, does tojzs forward entail not tawze?",0
102,"Given fzuoz forward entails tcybx, does not tcybx contradict one fzuoz?",0
103,"Given tbtsv contradicts tbtsv, does few tbtsv contradict not tbtsv?",0
104,"Given hfrjw forward entails okddw, does each hfrjw forward entail some okddw?",0
105,"Given xjwfm contradicts xjwfm, does most xjwfm forward entail most xjwfm?",0
106,"Given xrucq contradicts xrucq, does not xrucq forward entail one xrucq?",1
107,"Given lqfzk forward entails oshkw, does some oshkw reverse entail lqfzk?",1
108,"Given ppzhm contradicts ppzhm, does one ppzhm reverse entail each ppzhm?",0
109,"Given rqhtj contradicts rqhtj, does some rqhtj forward entail each rqhtj?",0
110,"Given llihr forward entails nksyl, does any llihr contradict not nksyl?",0
111,"Given phxbf reverse entails nksyl, does phxbf reverse entail few nksyl?",0
112,"Given fzuoz forward entails tcybx, does any tcybx reverse entail not fzuoz?",0
113,"Given slmah reverse entails ryxfd, does few slmah forward entail each ryxfd?",0
114,"Given dpqqn forward entails haxqv, does dpqqn forward entail most haxqv?",0
115,"Given sntpw reverse entails gvecs, does each sntpw reverse entail one gvecs?",0
116,"Given vnwrt reverse entails oucev, does oucev contradict any vnwrt?",0
117,"Given xmwrr reverse entails galkp, does galkp contradict xmwrr?",0
118,"Given izzra contradicts izzra, does most izzra forward entail each izzra?",0
119,"Given feqrx contradicts feqrx, does not feqrx reverse entail one feqrx?",1
120,"Given dccqn forward entails dsnjt, does some dsnjt forward entail few dccqn?",0
121,"Given myaix contradicts myaix, does each myaix contradict any myaix?",1
122,"Given wvbnk reverse entails vcdba, does some vcdba contradict not wvbnk?",0
123,"Given jhwcm reverse entails hgrtf, does few hgrtf reverse entail jhwcm?",0
124,"Given myovk forward entails xrucq, does not xrucq forward entail most myovk?",0
125,"Given xlkwn contradicts xlkwn, does any xlkwn forward entail few xlkwn?",0
126,"Given gwlhp reverse entails cvilp, does not cvilp contradict most gwlhp?",0
127,"Given lqfzk forward entails yrqzb, does each lqfzk forward entail few yrqzb?",0
128,"Given zcsro reverse entails hkpok, does some zcsro reverse entail any hkpok?",0
129,"Given sigap reverse entails fvgvb, does each fvgvb reverse entail not sigap?",0
130,"Given hkpok contradicts hkpok, does few hkpok forward entail few hkpok?",0
131,"Given ppzhm forward entails tptap, does any tptap contradict few ppzhm?",0
132,"Given llihr reverse entails dquet, does some llihr contradict some dquet?",0
133,"Given nxzwo reverse entails hfrjw, does most hfrjw forward entail some nxzwo?",1
134,"Given jhwcm reverse entails guycs, does most jhwcm reverse entail any guycs?",0
135,"Given ndzbt contradicts ndzbt, does few ndzbt contradict each ndzbt?",1
136,"Given yrqzb contradicts yrqzb, does most yrqzb reverse entail not yrqzb?",1
137,"Given chvfb forward entails hgrtf, does any hgrtf forward entail any chvfb?",0
138,"Given vdque reverse entails uvzqd, does few uvzqd reverse entail one vdque?",0
139,"Given jgigu contradicts jgigu, does not jgigu forward entail most jgigu?",1
140,"Given lwgjr reverse entails gnnle, does few gnnle contradict some lwgjr?",0
141,"Given owkve reverse entails jyknb, does some owkve contradict one jyknb?",0
142,"Given fwqbd reverse entails fexar, does one fwqbd reverse entail fexar?",0
143,"Given yaxtz contradicts yaxtz, does some yaxtz reverse entail most yaxtz?",0
144,"Given nvnhf contradicts nvnhf, does any nvnhf contradict any nvnhf?",1
145,"Given uvzqd forward entails vvsuh, does one vvsuh reverse entail some uvzqd?",1
146,"Given hkkur reverse entails cjirb, does not hkkur contradict not cjirb?",0
147,"Given ndzbt contradicts ndzbt, does each ndzbt contradict some ndzbt?",1
148,"Given wvbnk reverse entails vcdba, does vcdba reverse entail one wvbnk?",0
149,"Given bermx forward entails whlqi, does few bermx forward entail any whlqi?",0
150,"Given qyhjg contradicts qyhjg, does each qyhjg forward entail each qyhjg?",0
151,"Given bermx contradicts bermx, does any bermx contradict bermx?",1
152,"Given aucsa forward entails lwgjr, does one aucsa contradict lwgjr?",0
153,"Given dktsk forward entails gakmx, does one dktsk reverse entail few gakmx?",0
154,"Given lphzh forward entails wqfgl, does some lphzh forward entail most wqfgl?",0
155,"Given jffdm contradicts jffdm, does most jffdm forward entail each jffdm?",0
156,"Given coreg contradicts coreg, does most coreg contradict not coreg?",0
157,"Given atvpl forward entails rbugr, does atvpl contradict few rbugr?",0
158,"Given koehl forward entails wnewr, does any koehl reverse entail few wnewr?",0
159,"Given cpcwh forward entails oaucg, does one cpcwh reverse entail one oaucg?",0
160,"Given qnxcn contradicts qnxcn, does one qnxcn forward entail one qnxcn?",0
161,"Given qbgvx reverse entails jhwcm, does few jhwcm contradict some qbgvx?",0
162,"Given bfgtj forward entails hqmtp, does some bfgtj forward entail most hqmtp?",0
163,"Given zyeej reverse entails cjirb, does not zyeej reverse entail some cjirb?",0
164,"Given gvxfe contradicts gvxfe, does some gvxfe forward entail few gvxfe?",0
165,"Given qfsbj forward entails secik, does not secik contradict qfsbj?",0
166,"Given xlkwn reverse entails bkcpo, does bkcpo forward entail most xlkwn?",1
167,"Given ndxll contradicts ndxll, does one ndxll contradict ndxll?",1
168,"Given gkxsx contradicts gkxsx, does most gkxsx reverse entail most gkxsx?",0
169,"Given fvgvb forward entails htluh, does some htluh reverse entail few fvgvb?",1
170,"Given zcsro reverse entails hkpok, does most zcsro contradict some hkpok?",0
171,"Given nyuhb reverse entails gvxfe, does most gvxfe contradict not nyuhb?",0
172,"Given xlkwn contradicts xlkwn, does xlkwn contradict most xlkwn?",1
173,"Given wnewr reverse entails koehl, does most wnewr forward entail few koehl?",0
174,"Given lwgjr forward entails rawca, does rawca contradict most lwgjr?",0
175,"Given nvnhf forward entails zgjad, does not nvnhf forward entail one zgjad?",0
176,"Given llihr contradicts llihr, does one llihr reverse entail most llihr?",0
177,"Given tbtsv reverse entails dsnjt, does not tbtsv reverse entail dsnjt?",0
178,"Given hgrtf reverse entails dqbje, does one hgrtf reverse entail most dqbje?",0
179,"Given umjbg forward entails wvbnk, does some umjbg forward entail not wvbnk?",0
180,"Given llihr reverse entails dquet, does each llihr forward entail most dquet?",0
181,"Given myaix contradicts myaix, does few myaix reverse entail most myaix?",0
182,"Given zgjad reverse entails nvnhf, does any zgjad reverse entail some nvnhf?",0
183,"Given tawze contradicts tawze, does few tawze contradict tawze?",1
184,"Given wvbnk reverse entails vcdba, does vcdba reverse entail most wvbnk?",0
185,"Given fzuoz forward entails tcybx, does each tcybx reverse entail not fzuoz?",0
186,"Given vvsuh reverse entails izzra, does few vvsuh contradict few izzra?",0
187,"Given kutwj reverse entails hfrjw, does most hfrjw reverse entail not kutwj?",0
188,"Given itvud contradicts itvud, does some itvud reverse entail itvud?",0
189,"Given bbdat forward entails xjwfm, does few bbdat reverse entail one xjwfm?",0
190,"Given iesaj reverse entails feqrx, does any iesaj contradict few feqrx?",0
191,"Given rqhtj contradicts rqhtj, does few rqhtj forward entail few rqhtj?",0
192,"Given zcsro reverse entails hkpok, does each hkpok forward entail any zcsro?",1
193,"Given rawca reverse entails kefna, does most kefna reverse entail one rawca?",0
194,"Given numbd reverse entails hqmtp, does any numbd reverse entail most hqmtp?",0
195,"Given odrwt reverse entails agvud, does any agvud contradict one odrwt?",0
196,"Given wvbnk contradicts wvbnk, does wvbnk reverse entail wvbnk?",0
197,"Given secik reverse entails cvrwh, does one secik forward entail not cvrwh?",0
198,"Given cvrwh contradicts cvrwh, does most cvrwh contradict few cvrwh?",1
199,"Given jwivp contradicts jwivp, does any jwivp contradict jwivp?",1
200,"Given iufyu forward entails ornzn, does each ornzn forward entail not iufyu?",0
201,"Given hqmtp forward entails kvxne, does some hqmtp reverse entail one kvxne?",0
202,"Given avvej contradicts avvej, does few avvej contradict not avvej?",0
203,"Given tptap reverse entails khddc, does few khddc contradict most tptap?",0
204,"Given aassh contradicts aassh, does few aassh forward entail some aassh?",0
205,"Given fqbnj reverse entails atvpl, does one atvpl forward entail each fqbnj?",1
206,"Given jscmw reverse entails dpqqn, does not jscmw contradict one dpqqn?",0
207,"Given afwlr contradicts afwlr, does one afwlr forward entail not afwlr?",1
