text,label
"Given zrcaut reverse entails hvhz, does not zrcaut reverse entail hvhz?",0
"Given lwvc reverse entails lbz, does not lwvc reverse entail not lbz?",0
"Given wwzd reverse entails krns, does not krns forward entail wwzd?",0
"Given uchw reverse entails gixwtx, does not uchw forward entail not gixwtx?",1
"Given uqegks reverse entails cmslerbr, does cmslerbr forward entail not uqegks?",0
"Given mjhzk reverse entails dst, does dst reverse entail mjhzk?",0
"Given htlrjsdc forward entails vco, does not vco forward entail htlrjsdc?",0
"Given wqkqzc reverse entails lcbjt, does not wqkqzc contradict lcbjt?",0
"Given alj forward entails fffic, does alj contradict fffic?",0
"Given yqwyofx contradicts yqwyofx, does yqwyofx contradict yqwyofx?",1
"Given nkssoi forward entails zvin, does not nkssoi reverse entail zvin?",0
"Given cmslerbr forward entails uqegks, does uqegks reverse entail cmslerbr?",1
"Given yqwyofx reverse entails kxoinqe, does kxoinqe forward entail yqwyofx?",1
"Given sohpxzlr reverse entails npxrezov, does not sohpxzlr reverse entail npxrezov?",0
"Given mjhzk reverse entails dst, does not mjhzk forward entail not dst?",1
"Given cqm contradicts cqm, does not cqm reverse entail cqm?",1
"Given hrcumlo contradicts hrcumlo, does not hrcumlo contradict not hrcumlo?",1
"Given tfwqhgy reverse entails rpe, does rpe forward entail not tfwqhgy?",0
"Given lbz forward entails lwvc, does lwvc forward entail lbz?",0
"Given npaxownb contradicts npaxownb, does not npaxownb forward entail not npaxownb?",0
"Given jzgf contradicts jzgf, does jzgf contradict jzgf?",1
"Given ecvmruua contradicts ecvmruua, does ecvmruua contradict not ecvmruua?",0
"Given qrwmkime contradicts qrwmkime, does qrwmkime forward entail not qrwmkime?",1
"Given sqp forward entails wbcnkxmz, does not sqp forward entail not wbcnkxmz?",0
"Given rjlyb contradicts rjlyb, does not rjlyb contradict not rjlyb?",1
"Given afsrph contradicts afsrph, does afsrph reverse entail not afsrph?",1
"Given qehbbnq reverse entails gng, does not qehbbnq contradict not gng?",0
"Given gtfczf forward entails kxoinqe, does not gtfczf forward entail not kxoinqe?",0
"Given tikrj contradicts tikrj, does tikrj contradict tikrj?",1
"Given tikrj contradicts tikrj, does not tikrj forward entail tikrj?",1
"Given cdtkww forward entails rpe, does not cdtkww contradict not rpe?",0
"Given cbgvtuv reverse entails artyhgaw, does artyhgaw forward entail cbgvtuv?",1
"Given kxoinqe reverse entails gtfczf, does not gtfczf forward entail not kxoinqe?",0
"Given zvin reverse entails afsrph, does not afsrph reverse entail zvin?",0
"Given rovjajtp contradicts rovjajtp, does not rovjajtp forward entail rovjajtp?",1
"Given bkycjet forward entails hkc, does not bkycjet reverse entail not hkc?",1
"Given fjvkmsh forward entails msc, does not msc contradict not fjvkmsh?",0
"Given lwqmhgf reverse entails fjvkmsh, does not fjvkmsh contradict not lwqmhgf?",0
"Given wztcjdvi contradicts wztcjdvi, does not wztcjdvi reverse entail wztcjdvi?",1
"Given fyjzoy forward entails tgek, does not fyjzoy reverse entail tgek?",0
"Given htlrjsdc forward entails kux, does htlrjsdc reverse entail kux?",0
"Given hcb forward entails taiuyu, does hcb contradict taiuyu?",0
"Given ftfxv forward entails ylr, does ftfxv forward entail not ylr?",0
"Given hofvblho reverse entails fvn, does not fvn forward entail hofvblho?",0
"Given pgsrvnu forward entails yqwyofx, does yqwyofx reverse entail pgsrvnu?",1
"Given dst forward entails mjhzk, does not mjhzk reverse entail not dst?",0
"Given wjnl reverse entails cug, does wjnl contradict cug?",0
"Given jucfdsi contradicts jucfdsi, does not jucfdsi reverse entail jucfdsi?",1
"Given rovjajtp contradicts rovjajtp, does rovjajtp forward entail rovjajtp?",0
"Given zrcaut contradicts zrcaut, does not zrcaut reverse entail zrcaut?",1
"Given gzet forward entails jsas, does not jsas reverse entail not gzet?",0
"Given msc reverse entails ifwheicq, does not ifwheicq forward entail not msc?",0
"Given xwxvb contradicts xwxvb, does xwxvb contradict xwxvb?",1
"Given qehbbnq reverse entails gng, does not qehbbnq forward entail not gng?",1
"Given cug forward entails jswwtf, does not cug reverse entail not jswwtf?",1
"Given ypl reverse entails jqgb, does jqgb reverse entail not ypl?",0
"Given yepgsj reverse entails gjbfdbfe, does yepgsj contradict gjbfdbfe?",0
"Given jwi reverse entails bwr, does bwr contradict jwi?",0
"Given peys forward entails ryz, does not peys reverse entail ryz?",0
"Given klzbjq reverse entails cdtkww, does klzbjq forward entail cdtkww?",0
"Given hvhz forward entails iohjrn, does iohjrn forward entail not hvhz?",0
"Given lcbjt forward entails wqkqzc, does lcbjt reverse entail not wqkqzc?",0
"Given hvhz forward entails lnc, does lnc contradict hvhz?",0
"Given xoatpoe reverse entails oanc, does not oanc contradict xoatpoe?",0
"Given jlhnqyu forward entails qehbbnq, does not qehbbnq forward entail not jlhnqyu?",1
